                   MNLogit Regression Results                   
Dep. Variable:  ,choice          ,  No. Observations:  ,  9449  
Model:          ,MNLogit         ,  Df Residuals:      ,  9427  
Method:         ,MLE             ,  Df Model:          ,    20  
Date:           ,Tue, 24 Mar 2020,  Pseudo R-squ.:     ,0.2453  
Time:           ,16:54:30        ,  Log-Likelihood:    , -7778.1
converged:      ,True            ,  LL-Null:           , -10307.
Covariance Type:,nonrobust       ,  LLR p-value:       , 0.000  
 choice=1,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
frequency,    0.7363,    0.018,   40.915, 0.000,    0.701,    0.772
intercept,   -1.6145,    0.161,  -10.039, 0.000,   -1.930,   -1.299
income   ,   -0.5779,    0.111,   -5.224, 0.000,   -0.795,   -0.361
sex      ,   -0.3250,    0.067,   -4.886, 0.000,   -0.455,   -0.195
edu      ,    0.0879,    0.043,    2.056, 0.040,    0.004,    0.172
work     ,   -0.0934,    0.101,   -0.921, 0.357,   -0.292,    0.105
retire   ,    0.1730,    0.097,    1.775, 0.076,   -0.018,    0.364
check    ,   -0.3514,    0.090,   -3.886, 0.000,   -0.529,   -0.174
hospital ,    0.1133,    0.072,    1.569, 0.117,   -0.028,    0.255
age      ,    0.0662,    0.032,    2.053, 0.040,    0.003,    0.129
chronic  ,   -0.1055,    0.079,   -1.328, 0.184,   -0.261,    0.050
-------------------------------------------------------------------
 choice=2,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
frequency,    0.7859,    0.018,   43.520, 0.000,    0.750,    0.821
intercept,   -2.8104,    0.150,  -18.789, 0.000,   -3.104,   -2.517
income   ,    0.4845,    0.095,    5.092, 0.000,    0.298,    0.671
sex      ,   -0.1709,    0.066,   -2.577, 0.010,   -0.301,   -0.041
edu      ,    0.2219,    0.042,    5.316, 0.000,    0.140,    0.304
work     ,   -0.4638,    0.096,   -4.831, 0.000,   -0.652,   -0.276
retire   ,   -0.4629,    0.094,   -4.941, 0.000,   -0.646,   -0.279
check    ,   -0.0532,    0.088,   -0.606, 0.545,   -0.225,    0.119
hospital ,    0.3321,    0.071,    4.661, 0.000,    0.192,    0.472
age      ,    0.0769,    0.032,    2.428, 0.015,    0.015,    0.139
chronic  ,   -0.2360,    0.080,   -2.936, 0.003,   -0.394,   -0.078
