                   MNLogit Regression Results                   
Dep. Variable:  ,choice          ,  No. Observations:  ,  9449  
Model:          ,MNLogit         ,  Df Residuals:      ,  9417  
Method:         ,MLE             ,  Df Model:          ,    30  
Date:           ,Tue, 24 Mar 2020,  Pseudo R-squ.:     ,0.8156  
Time:           ,18:43:17        ,  Log-Likelihood:    , -1900.3
converged:      ,False           ,  LL-Null:           , -10307.
Covariance Type:,nonrobust       ,  LLR p-value:       , 0.000  
      choice=1     ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
frequency          ,    3.2811,    0.210,   15.630, 0.000,    2.870,    3.693
intercept          ,  -12.2045,    0.531,  -22.991, 0.000,  -13.245,  -11.164
income*risk_dec    ,    0.0671,    0.007,    9.814, 0.000,    0.054,    0.081
income*frequency   ,   -0.7698,    0.101,   -7.586, 0.000,   -0.969,   -0.571
attention*risk_dec ,    0.0328,    0.003,   11.394, 0.000,    0.027,    0.038
attention*frequency,   -0.3576,    0.042,   -8.484, 0.000,   -0.440,   -0.275
retire*risk_dec    ,    0.0401,    0.009,    4.462, 0.000,    0.022,    0.058
retire*frequency   ,   -0.5771,    0.137,   -4.223, 0.000,   -0.845,   -0.309
work*risk_dec      ,    0.0681,    0.009,    7.936, 0.000,    0.051,    0.085
work*frequency     ,   -0.7466,    0.129,   -5.776, 0.000,   -1.000,   -0.493
edu                ,   -0.7404,    0.138,   -5.354, 0.000,   -1.011,   -0.469
edu*frequency      ,    0.1896,    0.045,    4.172, 0.000,    0.101,    0.279
age*risk_dec       ,    0.0116,    0.003,    4.377, 0.000,    0.006,    0.017
age*frequency      ,   -0.1089,    0.039,   -2.811, 0.005,   -0.185,   -0.033
sex*pain           ,    0.5496, 2036.310,    0.000, 1.000,-3990.544, 3991.643
chronic*risk_dec   ,    0.0175,    0.004,    4.731, 0.000,    0.010,    0.025
-----------------------------------------------------------------------------
      choice=2     ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
frequency          ,    5.2898,    0.229,   23.099, 0.000,    4.841,    5.739
intercept          ,  -30.7930,    0.906,  -33.995, 0.000,  -32.568,  -29.018
income*risk_dec    ,    0.2439,    0.011,   21.803, 0.000,    0.222,    0.266
income*frequency   ,   -2.0937,    0.125,  -16.800, 0.000,   -2.338,   -1.849
attention*risk_dec ,    0.0491,    0.003,   15.332, 0.000,    0.043,    0.055
attention*frequency,   -0.4934,    0.045,  -10.983, 0.000,   -0.581,   -0.405
retire*risk_dec    ,    0.0658,    0.010,    6.738, 0.000,    0.047,    0.085
retire*frequency   ,   -0.8946,    0.144,   -6.228, 0.000,   -1.176,   -0.613
work*risk_dec      ,    0.1015,    0.009,   10.769, 0.000,    0.083,    0.120
work*frequency     ,   -1.0635,    0.137,   -7.745, 0.000,   -1.333,   -0.794
edu                ,   -1.5947,    0.186,   -8.586, 0.000,   -1.959,   -1.231
edu*frequency      ,    0.2993,    0.049,    6.100, 0.000,    0.203,    0.396
age*risk_dec       ,    0.0166,    0.003,    5.477, 0.000,    0.011,    0.022
age*frequency      ,   -0.1528,    0.042,   -3.653, 0.000,   -0.235,   -0.071
sex*pain           ,    0.5654, 2036.310,    0.000, 1.000,-3990.528, 3991.659
chronic*risk_dec   ,    0.0173,    0.004,    4.264, 0.000,    0.009,    0.025
