                          MNLogit Regression Results                          
==============================================================================
Dep. Variable:                 choice   No. Observations:                 9449
Model:                        MNLogit   Df Residuals:                     9411
Method:                           MLE   Df Model:                           36
Date:                Tue, 24 Mar 2020   Pseudo R-squ.:                  0.8176
Time:                        18:43:18   Log-Likelihood:                -1879.4
converged:                      False   LL-Null:                       -10307.
Covariance Type:            nonrobust   LLR p-value:                     0.000
=======================================================================================
           choice=1       coef    std err          z      P>|z|      [0.025      0.975]
---------------------------------------------------------------------------------------
frequency               3.2326      0.215     15.018      0.000       2.811       3.654
intercept             -11.9219      0.547    -21.806      0.000     -12.993     -10.850
income*risk_dec         0.0722      0.007     10.115      0.000       0.058       0.086
income*frequency       -0.8303      0.106     -7.806      0.000      -1.039      -0.622
attention*risk_dec      0.0321      0.003     11.089      0.000       0.026       0.038
attention*frequency    -0.3547      0.043     -8.317      0.000      -0.438      -0.271
retire*risk_dec         0.0381      0.009      4.256      0.000       0.021       0.056
retire*frequency       -0.4994      0.138     -3.612      0.000      -0.770      -0.228
work*risk_dec           0.0742      0.009      8.428      0.000       0.057       0.091
work*frequency         -0.7792      0.133     -5.878      0.000      -1.039      -0.519
edu                    -0.7706      0.141     -5.473      0.000      -1.047      -0.495
edu*frequency           0.2094      0.046      4.547      0.000       0.119       0.300
age*risk_dec            0.0106      0.003      3.860      0.000       0.005       0.016
age*frequency          -0.0936      0.041     -2.286      0.022      -0.174      -0.013
sex*pain                0.5155    629.019      0.001      0.999   -1232.340    1233.371
chronic*risk_dec        0.0294      0.006      5.014      0.000       0.018       0.041
region                 -0.9429      0.252     -3.748      0.000      -1.436      -0.450
chronic*frequency      -0.2296      0.082     -2.789      0.005      -0.391      -0.068
region*frequency        0.2043      0.085      2.405      0.016       0.038       0.371
---------------------------------------------------------------------------------------
           choice=2       coef    std err          z      P>|z|      [0.025      0.975]
---------------------------------------------------------------------------------------
frequency               5.2097      0.234     22.225      0.000       4.750       5.669
intercept             -30.2279      0.922    -32.769      0.000     -32.036     -28.420
income*risk_dec         0.2500      0.011     21.880      0.000       0.228       0.272
income*frequency       -2.1590      0.129    -16.744      0.000      -2.412      -1.906
attention*risk_dec      0.0479      0.003     14.828      0.000       0.042       0.054
attention*frequency    -0.4853      0.045    -10.675      0.000      -0.574      -0.396
retire*risk_dec         0.0660      0.010      6.750      0.000       0.047       0.085
retire*frequency       -0.8268      0.146     -5.679      0.000      -1.112      -0.541
work*risk_dec           0.1107      0.010     11.408      0.000       0.092       0.130
work*frequency         -1.1154      0.141     -7.917      0.000      -1.392      -0.839
edu                    -1.5516      0.188     -8.249      0.000      -1.920      -1.183
edu*frequency           0.3127      0.050      6.288      0.000       0.215       0.410
age*risk_dec            0.0156      0.003      4.972      0.000       0.009       0.022
age*frequency          -0.1352      0.044     -3.072      0.002      -0.221      -0.049
sex*pain                0.5314    629.019      0.001      0.999   -1232.324    1233.387
chronic*risk_dec        0.0325      0.007      4.857      0.000       0.019       0.046
region                 -1.7467      0.330     -5.297      0.000      -2.393      -1.100
chronic*frequency      -0.2762      0.089     -3.095      0.002      -0.451      -0.101
region*frequency        0.2805      0.091      3.081      0.002       0.102       0.459
=======================================================================================
