                   MNLogit Regression Results                   
Dep. Variable:  ,choice          ,  No. Observations:  ,  9449  
Model:          ,MNLogit         ,  Df Residuals:      ,  9439  
Method:         ,MLE             ,  Df Model:          ,     8  
Date:           ,Tue, 24 Mar 2020,  Pseudo R-squ.:     ,0.7042  
Time:           ,18:43:15        ,  Log-Likelihood:    , -3049.2
converged:      ,True            ,  LL-Null:           , -10307.
Covariance Type:,nonrobust       ,  LLR p-value:       , 0.000  
     choice=1     ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
frequency         ,    1.7706,    0.067,   26.587, 0.000,    1.640,    1.901
intercept         ,   -7.3807,    0.193,  -38.273, 0.000,   -7.759,   -7.003
income*risk_dec   ,    0.0889,    0.004,   24.794, 0.000,    0.082,    0.096
income*frequency  ,   -0.9500,    0.046,  -20.730, 0.000,   -1.040,   -0.860
attention*risk_dec,    0.0116,    0.001,   11.809, 0.000,    0.010,    0.014
----------------------------------------------------------------------------
     choice=2     ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
frequency         ,    3.4830,    0.097,   35.867, 0.000,    3.293,    3.673
intercept         ,  -24.7521,    0.677,  -36.583, 0.000,  -26.078,  -23.426
income*risk_dec   ,    0.3022,    0.009,   32.949, 0.000,    0.284,    0.320
income*frequency  ,   -2.5432,    0.081,  -31.530, 0.000,   -2.701,   -2.385
attention*risk_dec,    0.0181,    0.001,   15.645, 0.000,    0.016,    0.020
