                   MNLogit Regression Results                   
Dep. Variable:  ,choice          ,  No. Observations:  ,  9449  
Model:          ,MNLogit         ,  Df Residuals:      ,  9433  
Method:         ,MLE             ,  Df Model:          ,    14  
Date:           ,Tue, 24 Mar 2020,  Pseudo R-squ.:     ,0.7263  
Time:           ,18:43:16        ,  Log-Likelihood:    , -2821.2
converged:      ,True            ,  LL-Null:           , -10307.
Covariance Type:,nonrobust       ,  LLR p-value:       , 0.000  
      choice=1     ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
frequency          ,    2.5424,    0.105,   24.140, 0.000,    2.336,    2.749
intercept          ,   -8.7197,    0.251,  -34.679, 0.000,   -9.212,   -8.227
income*risk_dec    ,    0.0752,    0.004,   18.782, 0.000,    0.067,    0.083
income*frequency   ,   -0.7871,    0.056,  -13.951, 0.000,   -0.898,   -0.676
attention*risk_dec ,    0.0222,    0.002,   14.232, 0.000,    0.019,    0.025
attention*frequency,   -0.2688,    0.026,  -10.472, 0.000,   -0.319,   -0.219
retire*risk_dec    ,    0.0334,    0.003,   10.351, 0.000,    0.027,    0.040
retire*frequency   ,   -0.3230,    0.050,   -6.457, 0.000,   -0.421,   -0.225
-----------------------------------------------------------------------------
      choice=2     ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
frequency          ,    4.6336,    0.135,   34.232, 0.000,    4.368,    4.899
intercept          ,  -27.2698,    0.756,  -36.069, 0.000,  -28.752,  -25.788
income*risk_dec    ,    0.2698,    0.010,   27.734, 0.000,    0.251,    0.289
income*frequency   ,   -2.2607,    0.090,  -25.040, 0.000,   -2.438,   -2.084
attention*risk_dec ,    0.0392,    0.002,   19.746, 0.000,    0.035,    0.043
attention*frequency,   -0.4191,    0.029,  -14.364, 0.000,   -0.476,   -0.362
retire*risk_dec    ,    0.0460,    0.004,   11.475, 0.000,    0.038,    0.054
retire*frequency   ,   -0.4898,    0.057,   -8.584, 0.000,   -0.602,   -0.378
