                   MNLogit Regression Results                   
Dep. Variable:  ,choice          ,  No. Observations:  ,  9449  
Model:          ,MNLogit         ,  Df Residuals:      ,  9429  
Method:         ,MLE             ,  Df Model:          ,    18  
Date:           ,Tue, 24 Mar 2020,  Pseudo R-squ.:     ,0.2449  
Time:           ,16:54:30        ,  Log-Likelihood:    , -7782.6
converged:      ,True            ,  LL-Null:           , -10307.
Covariance Type:,nonrobust       ,  LLR p-value:       , 0.000  
 choice=1,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
frequency,    0.7359,    0.018,   40.926, 0.000,    0.701,    0.771
intercept,   -1.6397,    0.160,  -10.226, 0.000,   -1.954,   -1.325
income   ,   -0.5676,    0.111,   -5.133, 0.000,   -0.784,   -0.351
sex      ,   -0.3133,    0.066,   -4.740, 0.000,   -0.443,   -0.184
edu      ,    0.0927,    0.043,    2.170, 0.030,    0.009,    0.176
work     ,   -0.0975,    0.101,   -0.962, 0.336,   -0.296,    0.101
retire   ,    0.1576,    0.097,    1.628, 0.104,   -0.032,    0.347
check    ,   -0.3623,    0.090,   -4.031, 0.000,   -0.538,   -0.186
hospital ,    0.0792,    0.067,    1.181, 0.238,   -0.052,    0.211
age      ,    0.0633,    0.032,    1.971, 0.049,    0.000,    0.126
-------------------------------------------------------------------
 choice=2,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
frequency,    0.7855,    0.018,   43.533, 0.000,    0.750,    0.821
intercept,   -2.8482,    0.149,  -19.106, 0.000,   -3.140,   -2.556
income   ,    0.4956,    0.095,    5.212, 0.000,    0.309,    0.682
sex      ,   -0.1482,    0.066,   -2.252, 0.024,   -0.277,   -0.019
edu      ,    0.2307,    0.042,    5.544, 0.000,    0.149,    0.312
work     ,   -0.4721,    0.096,   -4.920, 0.000,   -0.660,   -0.284
retire   ,   -0.4964,    0.093,   -5.340, 0.000,   -0.679,   -0.314
check    ,   -0.0785,    0.087,   -0.898, 0.369,   -0.250,    0.093
hospital ,    0.2545,    0.066,    3.846, 0.000,    0.125,    0.384
age      ,    0.0704,    0.032,    2.226, 0.026,    0.008,    0.132
